Date,CLOSE
2011-01-04,2852.6478
2011-01-05,2838.5925
2011-01-06,2824.1968
2011-01-07,2838.8007
2011-01-10,2791.8092
2011-01-11,2804.0466
2011-01-12,2821.3051
2011-01-13,2827.7125
2011-01-14,2791.3437
2011-01-17,2706.6601
2011-01-18,2708.9792
2011-01-19,2758.0967
2011-01-20,2677.6524
2011-01-21,2715.2943
2011-01-24,2695.7196
2011-01-25,2677.4317
2011-01-26,2708.8143
2011-01-27,2749.1498
2011-01-28,2752.7495
2011-01-31,2790.6943
2011-02-01,2798.9603
2011-02-09,2774.0653
2011-02-10,2818.163
2011-02-11,2827.3276
2011-02-14,2899.1338
2011-02-15,2899.2366
2011-02-16,2923.8961
2011-02-17,2926.9639
2011-02-18,2899.7921
2011-02-21,2932.2458
2011-02-22,2855.5163
2011-02-23,2862.6344
2011-02-24,2878.6028
2011-02-25,2878.5652
2011-02-28,2905.0529
2011-03-01,2918.9203
2011-03-02,2913.808
2011-03-03,2902.9778
2011-03-04,2942.3062
2011-03-07,2996.2107
2011-03-08,2999.9422
2011-03-09,3002.1544
2011-03-10,2957.1434
2011-03-11,2933.7964
2011-03-14,2937.6267
2011-03-15,2896.2556
2011-03-16,2930.8039
2011-03-17,2897.2983
2011-03-18,2906.8856
2011-03-21,2909.1374
2011-03-22,2919.1421
2011-03-23,2948.4766
2011-03-24,2946.7058
2011-03-25,2977.8136
2011-03-28,2984.005
2011-03-29,2958.0773
2011-03-30,2955.7712
2011-03-31,2928.111
2011-04-01,2967.41
2011-04-06,3001.3602
2011-04-07,3007.9088
2011-04-08,3030.021
2011-04-11,3022.7464
2011-04-12,3021.3692
2011-04-13,3050.3975
2011-04-14,3042.6352
2011-04-15,3050.5259
2011-04-18,3057.3288
2011-04-19,2999.0408
2011-04-20,3007.0373
2011-04-21,3026.6676
2011-04-22,3010.5166
2011-04-25,2964.951
2011-04-26,2938.9813
2011-04-27,2925.408
2011-04-28,2887.0435
2011-04-29,2911.5105
2011-05-03,2932.1877
2011-05-04,2866.017
2011-05-05,2872.404
2011-05-06,2863.8864
2011-05-09,2872.4601
2011-05-10,2890.6341
2011-05-11,2883.4201
2011-05-12,2844.0827
2011-05-13,2871.0312
2011-05-16,2849.0668
2011-05-17,2852.7727
2011-05-18,2872.7707
2011-05-19,2859.5737
2011-05-20,2858.4592
2011-05-23,2774.5688
2011-05-24,2767.0563
2011-05-25,2741.7414
2011-05-26,2736.5265
2011-05-27,2709.9472
2011-05-30,2706.3613
2011-05-31,2743.4719
2011-06-01,2743.5719
2011-06-02,2705.1807
2011-06-03,2728.0195
2011-06-07,2744.3004
2011-06-08,2750.2884
2011-06-09,2703.3454
2011-06-10,2705.1427
2011-06-13,2700.3787
2011-06-14,2730.04
2011-06-15,2705.4314
2011-06-16,2664.2825
2011-06-17,2642.8182
2011-06-20,2621.2532
2011-06-21,2646.4833
2011-06-22,2649.3206
2011-06-23,2688.2486
2011-06-24,2746.2113
2011-06-27,2758.2304
2011-06-28,2759.2022
2011-06-29,2728.4834
2011-06-30,2762.0759
2011-07-01,2759.362
2011-07-04,2812.8182
2011-07-05,2816.3545
2011-07-06,2810.4788
2011-07-07,2794.2673
2011-07-08,2797.7735
2011-07-11,2802.6924
2011-07-12,2754.5818
2011-07-13,2795.4755
2011-07-14,2810.4439
2011-07-15,2820.1694
2011-07-18,2816.6877
2011-07-19,2796.9829
2011-07-20,2794.2048
2011-07-21,2765.8942
2011-07-22,2770.7898
2011-07-25,2688.7458
2011-07-26,2703.0262
2011-07-27,2723.4917
2011-07-28,2708.7774
2011-07-29,2701.7293
2011-08-01,2703.783
2011-08-02,2679.259
2011-08-03,2678.4846
2011-08-04,2684.0392
2011-08-05,2626.4227
2011-08-08,2526.8161
2011-08-09,2526.0695
2011-08-10,2549.1759
2011-08-11,2581.5076
2011-08-12,2593.1726
2011-08-15,2626.7698
2011-08-16,2608.1658
2011-08-17,2601.2609
2011-08-18,2559.4718
2011-08-19,2534.3576
2011-08-22,2515.8627
2011-08-23,2554.0185
2011-08-24,2541.0912
2011-08-25,2615.2609
2011-08-26,2612.1883
2011-08-29,2576.4125
2011-08-30,2566.5947
2011-08-31,2567.3402
2011-09-01,2556.0424
2011-09-02,2528.2801
2011-09-05,2478.739
2011-09-06,2470.5242
2011-09-07,2516.0902
2011-09-08,2498.9432
2011-09-09,2497.7529
2011-09-13,2471.3046
2011-09-14,2484.8274
2011-09-15,2479.0546
2011-09-16,2482.3428
2011-09-19,2437.7946
2011-09-20,2447.7552
2011-09-21,2512.9626
2011-09-22,2443.0565
2011-09-23,2433.1588
2011-09-26,2393.183
2011-09-27,2415.0544
2011-09-28,2392.0617
2011-09-29,2365.3429
2011-09-30,2359.2196
2011-10-10,2344.7866
2011-10-11,2348.5157
2011-10-12,2419.9998
2011-10-13,2438.7896
2011-10-14,2431.3745
